,Unnamed: 0,Rating,Review,lang,cleaned
80355,3196,5,"Um idk why but when me and my friends play and,I invite them to a game it takes like 30 minutes for them to receive it and players should start with more money",en,"Um idk why but when me and my friend play and , I invite them to a game it take like 30 minute for them to receive it and player should start with more money"
80357,3198,5,Ok so this game is one of my best one i have been plaing this game a lot ofyears and yes i know when a update comes out it will have bugs or maybeglitches But 1 thing is bugin me the crashing i dont get my weekly win and i dont get coins and yes i do have 24k coins cause of clan chest Plzz fix the crashing But still keep up with the updates and ill rate this game a 5 star Thank you plzz *Read* this THE NEW UPDATE IS SO LITTHE NEW GUNS THX PIXEL GUN COMPANY I REALL DID NOT EXPECT THIS EPIC UPDATE.,en,Ok so this game be one of my best one i have be plaing this game a lot ofyears and yes i know when a update come out it will have bug or maybeglitches But 1 thing be bugin me the crash i dont get my weekly win and i dont get coin and yes i do have 24k coin cause of clan chest Plzz fix the crashing But still keep up with the update and ill rate this game a 5 star Thank you plzz *Read* this THE NEW UPDATE IS SO LITTHE NEW GUNS THX PIXEL GUN COMPANY I REALL DID NOT EXPECT THIS EPIC UPDATE .
80358,3199,5,I am sick of not earning Gems every time we win a match,en,I be sick of not earn Gems every time we win a match
80359,3200,3,"I am tired of rocket jumping being used on flag capture to move far too fast to be caught, in other words: to play unfairly. It needs to not be possible (area damage weapons only do self-explosion damage, and won’t allow the user to rocket jump), or it needs to throw the rocket jumping player off the map, no matter what direction they were trying to rocket jump.",en,"I be tire of rocket jumping be use on flag capture to move far too fast to be catch , in other word : to play unfairly . It need to not be possible ( area damage weapon only do self-explosion damage , and win ’ t allow the user to rocket jump ) , or it need to throw the rocket jump player off the map , no matter what direction they be try to rocket jump ."
80360,3201,5,"I've been looking for some good fps games to play on the app store, and I know they don't really have that many good fps games. When I saw this a couple of years ago, my eyes lit up. This is everything we needed. It's like Minecraft with COD, Or... Maybe on second thought, it's better than both of them!",en,"I 've be look for some good fps game to play on the app store , and I know they do n't really have that many good fps game . When I saw this a couple of year ago , my eye light up . This be everything we need . It 's like Minecraft with COD , Or ... Maybe on second thought , it 's good than both of them exclamation_point"
80361,3202,5,This game is very addicting and it’s gameplay is amazing also some of the perks of guns stop people acuseing poeple of hackers,en,This game be very addicting and it ’ s gameplay be amaze also some of the perk of gun stop people acuseing poeple of hacker
80363,3204,5,WHY!!! WHY HAVEN’T YOU DELETED THE NANOBOTS RIFLE YET!?!?! DELETE IT NOW!!! Delete the in-game purchases and gems as well. Make it so you can name your lobby. And make it $1 in the AppStore again.,en,WHY exclamation_point exclamation_point exclamation_point WHY HAVEN ’ T YOU DELETED THE NANOBOTS RIFLE YET exclamation_point ? exclamation_point ? exclamation_point DELETE IT NOW exclamation_point exclamation_point exclamation_point Delete the in-game purchase and gem as well . Make it so you can name your lobby . And make it $ 1 in the AppStore again .
80364,3205,5,This game is awesome great job!,en,This game be awesome great job exclamation_point
80365,3206,1,I never get my kills I want to win without losing my kills,en,I never get my kill I want to win without lose my kill
80366,3207,5,make the update all at the same time,en,make the update all at the same time
80368,3209,5,I still didn’t get the update while other people get the manticore and stuff and I can’t update the game.,en,I still didn ’ t get the update while other people get the manticore and stuff and I can ’ t update the game .
80369,3210,5,I LOVE your Miny games I get fusstaraded on parkour sometimes,en,I LOVE your Miny game I get fusstaraded on parkour sometimes
80370,3211,5,"It constantly glitches and lagged me out of the game. I start over on all my kills and goals. Also not only is it constantly crashing it is doing it once every 30 seconds. I have also checked that my WiFi is at full bars and have a secure connection, but it still happens and is extremely frustrating, annoying, and incredibly aggravating.",en,"It constantly glitch and lag me out of the game . I start over on all my kill and goal . Also not only be it constantly crash it be do it once every 30 second . I have also check that my WiFi be at full bar and have a secure connection , but it still happen and be extremely frustrating , annoy , and incredibly aggravate ."
80371,3212,5,I like the app. One thing that I dislike that you cannot create custom skins for guns. I have played for over a year.,en,I like the app . One thing that I dislike that you can not create custom skin for gun . I have play for over a year .
80372,3213,5,I just got the game and every time I lose I lose trophies if you could do if the others team wins they get trophies and the losers don't lose trophies (p.s. I love the game but can you lower prices for the guns) I am a lover,en,I just get the game and every time I lose I lose trophy if you could do if the others team win they get trophy and the loser do n't lose trophy ( p.s . I love the game but can you low price for the gun ) I be a lover
80373,3214,5,"I love this game. Probably the best game that could be reached by iOS...Improvements: There is this well known bug where you disconnect from the game and kills from the previous round go back to 0, which I find incredibly annoying. If there is a way to fix this, please fix it!Overall, this game is amazing. I am on level 23 now and am saving up for the ‘One Shot’.And keep up the awesome work!",en,"I love this game . Probably the best game that could be reach by iOS ... Improvements : There be this well know bug where you disconnect from the game and kill from the previous round go back to 0 , which I find incredibly annoy . If there be a way to fix this , please fix it exclamation_point Overall , this game be amaze . I be on level 23 now and be save up for the ‘ One Shot ’ .And keep up the awesome work exclamation_point"
80395,3236,5,This game is the BEST thanks so much Cubic Games 👋🏻👋🏻👋🏻👋🏻👋🏻👋🏻👋🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👌☝️👑 kind regards CyBEr SsEB 3 Ps can I please have 10000 gems and coins thanks anyway,en,This game be the BEST thanks so much Cubic Games 👋🏻👋🏻👋🏻👋🏻👋🏻👋🏻👋🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👌☝️👑 kind regard CyBEr SsEB 3 Ps can I please have 10000 gem and coin thanks anyway
80396,3237,5,Huh I've got shot by a by a one shot once and I didn't die.And a player had steampunk fists and I used the laser spearOne shot kill.And in another match days later someone used golden friend And I didn't die even a changed the f.b.spell to l.s. And I got More score than the other player and we had the same killsBut the other team had 0 kills and I had 290 s t.o.p.h. 210 sAnd golden friend is a mithycal weapon!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!LOL 😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂1000000000000000000000000000000000% I like And one thing coooppyyyyyyrrrriiiiiiggggghhhhht,en,Huh I 've get shoot by a by a one shot once and I do n't die.And a player have steampunk fist and I use the laser spearOne shot kill.And in another match day later someone use golden friend And I do n't die even a change the f.b.spell to l.s . And I get More score than the other player and we have the same killsBut the other team have 0 kill and I have 290 s t.o.p.h . 210 sAnd golden friend be a mithycal weapon exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point LOL 😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂1000000000000000000000000000000000 % I like And one thing coooppyyyyyyrrrriiiiiiggggghhhhht
80397,3238,4,Very good game just when you lose don't minus trophies/leagues otherwise very good game,en,Very good game just when you lose do n't minus trophies/leagues otherwise very good game
